Query,TTMB,TFMB,TTMA,TFMA,RTMB,RFMB,RTMA,RFMA,Max
3_3_1_0,1517289472,628307440,1517289472,626732528,1517289472,626732528,1517289472,975379152,1560281088
3_3_1_1,1517289472,975379152,1517289472,973808336,1517289472,973808336,1517289472,733689328,1560281088
3_3_1_2,1517289472,733689328,1517289472,732640752,1517289472,732640752,1517289472,977937400,1560281088
3_3_1_3,1517289472,977937400,1517289472,976366584,1517289472,976366584,1517289472,642985456,1560281088
3_3_1_4,1517289472,642463216,1517289472,641414640,1517289472,641414640,1526726656,875247088,1560281088
3_3_1_5,1526726656,875247088,1526726656,873672176,1526726656,873672176,1526726656,964374000,1560281088
3_3_1_6,1526726656,964374000,1526726656,963325424,1526726656,963325424,1526726656,722677232,1560281088
3_3_1_7,1526726656,722677232,1526726656,721106416,1526726656,721106416,1526726656,842741232,1560281088
3_3_1_8,1526726656,842741232,1526726656,841692656,1526726656,841692656,1526726656,939732448,1560281088
3_3_1_9,1526726656,939175360,1526726656,938157536,1526726656,938157536,1526726656,743124464,1560281088
3_3_3_0,1526726656,743124464,1526726656,741027312,1526726656,741027312,1526726656,884679504,1560281088
3_3_3_1,1526726656,884679504,1526726656,882583008,1526726656,882583008,1526726656,946548008,1560281088
3_3_3_2,1526726656,946025768,1526726656,943928616,1526726656,943928616,1526726656,888876512,1560281088
3_3_3_3,1526726656,888876512,1526726656,886779360,1526726656,886779360,1526726656,656618992,1560281088
3_3_3_4,1526726656,656092656,1526726656,653995504,1526726656,653995504,1526726656,926625264,1560281088
3_3_3_5,1526726656,926625264,1526726656,924528112,1526726656,924528112,1526726656,755183088,1560281088
3_3_3_6,1526726656,754660848,1526726656,752563696,1526726656,752563696,1526726656,961754608,1560281088
3_3_3_7,1526726656,961754608,1526726656,959657456,1526726656,959657456,1526726656,648230384,1560281088
3_3_3_8,1526726656,647673296,1526726656,646133232,1526726656,646133232,1526726656,925578736,1560281088
3_3_3_9,1526726656,925052400,1526726656,922955248,1526726656,922955248,1526726656,667100640,1560281088
3_3_5_0,1526726656,666578400,1526726656,663954912,1526726656,663954912,1526726656,972762592,1560281088
3_3_5_1,1526726656,972236256,1526726656,969616864,1526726656,969616864,1526726656,467554560,1560281088
3_3_5_2,1526726656,467554560,1526726656,464408832,1526726656,464408832,1526726656,911947248,1560281088
3_3_5_3,1526726656,911420912,1526726656,908801520,1526726656,908801520,1526726656,999499232,1560281088
3_3_5_4,1526726656,999499232,1526726656,996353504,1526726656,996353504,1526726656,736833008,1560281088
3_3_5_5,1526726656,736310768,1526726656,733165040,1526726656,733165040,1526726656,798695152,1560281088
3_3_5_6,1526726656,798172912,1526726656,795027184,1526726656,795027184,1526726656,664483312,1560281088
3_3_5_7,1526726656,663956976,1526726656,660811248,1526726656,660811248,1526726656,986396144,1560281088
3_3_5_8,1526726656,986396144,1526726656,983250416,1526726656,983250416,1526726656,598947312,1560281088
3_3_5_9,1526726656,598420976,1526726656,595275248,1526726656,595275248,1526726656,960113648,1560281088
